"Mass"	"Intensity"
"1"	31.21	0
"2"	31.27	0
"3"	31.34	0
"4"	31.4	2.66581
"5"	31.46	0
"6"	31.52	7.99744
"7"	31.59	2.66581
"8"	31.65	2.66581
"9"	31.71	0
"10"	31.77	0
"11"	31.84	10.6633
"12"	31.9	5.33163
"13"	31.96	13.3291
"14"	32.02	0
"15"	32.09	0
"16"	32.15	0
"17"	32.21	2.66581
"18"	32.27	5.33163
"19"	32.34	0
"20"	32.4	0
"21"	32.46	2.66581
"22"	32.52	0
"23"	32.59	0
"24"	32.65	0
"25"	32.71	7.99744
"26"	32.77	0
"27"	32.84	0
"28"	32.9	0
"29"	32.96	0
"30"	33.02	0
"31"	33.09	0
"32"	33.15	0
"33"	33.21	0
"34"	33.27	2.66581
"35"	33.34	0
"36"	33.4	0
"37"	33.46	0
"38"	33.52	0
"39"	33.59	0
"40"	33.65	0
"41"	33.71	0
"42"	33.77	0
"43"	33.84	0
"44"	33.9	0
"45"	33.96	0
"46"	34.02	0
"47"	34.09	0
"48"	34.15	0
"49"	34.21	0
"50"	34.27	0
"51"	34.34	0
"52"	34.4	0
"53"	34.46	0
"54"	34.52	0
"55"	34.59	0
"56"	34.65	0
"57"	34.71	0
"58"	34.77	0
"59"	34.84	0
"60"	34.9	0
"61"	34.96	2.66581
"62"	35.02	0
"63"	35.09	0
"64"	35.15	0
"65"	35.21	5.33163
"66"	35.27	5.33163
"67"	35.34	0
"68"	35.4	0
"69"	35.46	0
"70"	35.52	0
"71"	35.59	0
"72"	35.65	2.66581
"73"	35.71	0
"74"	35.77	0
"75"	35.84	2.66581
"76"	35.9	0
"77"	35.96	0
"78"	36.02	2.66581
"79"	36.09	2.66581
"80"	36.15	0
"81"	36.21	0
"82"	36.27	2.66581
"83"	36.34	0
"84"	36.4	2.66581
"85"	36.46	0
"86"	36.52	5.33163
"87"	36.59	0
"88"	36.65	0
"89"	36.71	2.66581
"90"	36.77	0
"91"	36.84	2.66581
"92"	36.9	0
"93"	36.96	0
"94"	37.02	0
"95"	37.09	13.3291
"96"	37.15	13.3291
"97"	37.21	2.66581
"98"	37.27	2.66581
"99"	37.34	0
"100"	37.4	0
"101"	37.46	0
"102"	37.52	0
"103"	37.59	0
"104"	37.65	0
"105"	37.71	0
"106"	37.77	0
"107"	37.84	0
"108"	37.9	0
"109"	37.96	0
"110"	38.02	0
"111"	38.09	2.66581
"112"	38.15	0
"113"	38.21	0
"114"	38.27	0
"115"	38.34	0
"116"	38.4	2.66581
"117"	38.46	0
"118"	38.52	0
"119"	38.59	2.66581
"120"	38.65	0
"121"	38.71	0
"122"	38.77	0
"123"	38.84	0
"124"	38.9	0
"125"	38.96	0
"126"	39.02	0
"127"	39.09	0
"128"	39.15	0
"129"	39.21	0
"130"	39.27	0
"131"	39.34	0
"132"	39.4	0
"133"	39.46	0
"134"	39.52	0
"135"	39.59	0
"136"	39.65	0
"137"	39.71	0
"138"	39.77	0
"139"	39.84	0
"140"	39.9	0
"141"	39.96	2.66581
"142"	40.02	2.66581
"143"	40.09	0
"144"	40.15	5.33163
"145"	40.21	0
"146"	40.27	0
"147"	40.34	0
"148"	40.4	0
"149"	40.46	0
"150"	40.52	0
"151"	40.59	0
"152"	40.65	0
"153"	40.71	0
"154"	40.77	0
"155"	40.84	0
"156"	40.9	0
"157"	40.96	0
"158"	41.02	0
"159"	41.09	0
"160"	41.15	0
"161"	41.21	0
"162"	41.27	0
"163"	41.34	0
"164"	41.4	0
"165"	41.46	0
"166"	41.52	0
"167"	41.59	0
"168"	41.65	0
"169"	41.71	0
"170"	41.77	0
"171"	41.84	0
"172"	41.9	0
"173"	41.96	0
"174"	42.02	0
"175"	42.09	0
"176"	42.15	0
"177"	42.21	0
"178"	42.27	0
"179"	42.34	2.66581
"180"	42.4	0
"181"	42.46	0
"182"	42.52	0
"183"	42.59	0
"184"	42.65	0
