""	"ScanData"	"X1"
"1"	10	0
"2"	10.06	0
"3"	10.13	0
"4"	10.19	2.66581
"5"	10.25	0
"6"	10.31	7.99744
"7"	10.38	2.66581
"8"	10.44	2.66581
"9"	10.5	0
"10"	10.56	0
"11"	10.63	10.6633
"12"	10.69	5.33163
"13"	10.75	13.3291
"14"	10.81	0
"15"	10.88	0
"16"	10.94	0
"17"	11	2.66581
"18"	11.06	5.33163
"19"	11.13	0
"20"	11.19	0
"21"	11.25	2.66581
"22"	11.31	0
"23"	11.38	0
"24"	11.44	0
"25"	11.5	7.99744
"26"	11.56	0
"27"	11.63	0
"28"	11.69	0
"29"	11.75	0
"30"	11.81	0
"31"	11.88	0
"32"	11.94	0
"33"	12	0
"34"	12.06	2.66581
"35"	12.13	0
"36"	12.19	0
"37"	12.25	0
"38"	12.31	0
"39"	12.38	0
"40"	12.44	0
"41"	12.5	0
"42"	12.56	0
"43"	12.63	0
"44"	12.69	0
"45"	12.75	0
"46"	12.81	0
"47"	12.88	0
"48"	12.94	0
"49"	13	0
"50"	13.06	0
"51"	13.13	0
"52"	13.19	0
"53"	13.25	0
"54"	13.31	0
"55"	13.38	0
"56"	13.44	0
"57"	13.5	0
"58"	13.56	0
"59"	13.63	0
"60"	13.69	0
"61"	13.75	2.66581
"62"	13.81	0
"63"	13.88	0
"64"	13.94	0
"65"	14	5.33163
"66"	14.06	5.33163
"67"	14.13	0
"68"	14.19	0
"69"	14.25	0
"70"	14.31	0
"71"	14.38	0
"72"	14.44	2.66581
"73"	14.5	0
"74"	14.56	0
"75"	14.63	2.66581
"76"	14.69	0
"77"	14.75	0
"78"	14.81	2.66581
"79"	14.88	2.66581
"80"	14.94	0
"81"	15	0
"82"	15.06	2.66581
"83"	15.13	0
"84"	15.19	2.66581
"85"	15.25	0
"86"	15.31	5.33163
"87"	15.38	0
"88"	15.44	0
"89"	15.5	2.66581
"90"	15.56	0
"91"	15.63	2.66581
"92"	15.69	0
"93"	15.75	0
"94"	15.81	0
"95"	15.88	13.3291
"96"	15.94	13.3291
"97"	16	2.66581
"98"	16.06	2.66581
"99"	16.13	0
"100"	16.19	0
"101"	16.25	0
"102"	16.31	0
"103"	16.38	0
"104"	16.44	0
"105"	16.5	0
"106"	16.56	0
"107"	16.63	0
"108"	16.69	0
"109"	16.75	0
"110"	16.81	0
"111"	16.88	2.66581
"112"	16.94	0
"113"	17	0
"114"	17.06	0
"115"	17.13	0
"116"	17.19	2.66581
"117"	17.25	0
"118"	17.31	0
"119"	17.38	2.66581
"120"	17.44	0
"121"	17.5	0
"122"	17.56	0
"123"	17.63	0
"124"	17.69	0
"125"	17.75	0
"126"	17.81	0
"127"	17.88	0
"128"	17.94	0
"129"	18	0
"130"	18.06	0
"131"	18.13	0
"132"	18.19	0
"133"	18.25	0
"134"	18.31	0
"135"	18.38	0
"136"	18.44	0
"137"	18.5	0
"138"	18.56	0
"139"	18.63	0
"140"	18.69	0
"141"	18.75	2.66581
"142"	18.81	2.66581
"143"	18.88	0
"144"	18.94	5.33163
"145"	19	0
"146"	19.06	0
"147"	19.13	0
"148"	19.19	0
"149"	19.25	0
"150"	19.31	0
"151"	19.38	0
"152"	19.44	0
"153"	19.5	0
"154"	19.56	0
"155"	19.63	0
"156"	19.69	0
"157"	19.75	0
"158"	19.81	0
"159"	19.88	0
"160"	19.94	0
"161"	20	0
"162"	20.06	0
"163"	20.13	0
"164"	20.19	0
"165"	20.25	0
"166"	20.31	0
"167"	20.38	0
"168"	20.44	0
"169"	20.5	0
"170"	20.56	0
"171"	20.63	0
"172"	20.69	0
"173"	20.75	0
"174"	20.81	0
"175"	20.88	0
"176"	20.94	0
"177"	21	0
"178"	21.06	0
"179"	21.13	2.66581
"180"	21.19	0
"181"	21.25	0
"182"	21.31	0
"183"	21.38	0
"184"	21.44	0
"185"	21.5	0
"186"	21.56	7.99744
"187"	21.63	10.6633
"188"	21.69	13.3291
"189"	21.75	0
"190"	21.81	0
"191"	21.88	0
"192"	21.94	0
"193"	22	0
"194"	22.06	0
"195"	22.13	0
"196"	22.19	0
"197"	22.25	0
"198"	22.31	0
"199"	22.38	2.66581
"200"	22.44	0
"201"	22.5	0
"202"	22.56	0
"203"	22.63	0
"204"	22.69	0
"205"	22.75	0
"206"	22.81	0
"207"	22.88	2.66581
"208"	22.94	0
"209"	23	0
"210"	23.06	0
"211"	23.13	0
"212"	23.19	0
"213"	23.25	0
"214"	23.31	0
"215"	23.38	0
"216"	23.44	0
"217"	23.5	0
"218"	23.56	0
"219"	23.63	0
"220"	23.69	0
"221"	23.75	0
"222"	23.81	0
"223"	23.88	2.66581
"224"	23.94	0
"225"	24	5.33163
"226"	24.06	0
"227"	24.13	0
"228"	24.19	0
"229"	24.25	0
"230"	24.31	0
"231"	24.38	0
"232"	24.44	0
"233"	24.5	0
"234"	24.56	0
"235"	24.63	0
"236"	24.69	2.66581
"237"	24.75	0
"238"	24.81	0
"239"	24.88	0
"240"	24.94	0
"241"	25	0
"242"	25.06	0
"243"	25.13	0
"244"	25.19	0
"245"	25.25	0
"246"	25.31	0
"247"	25.38	0
"248"	25.44	0
"249"	25.5	0
"250"	25.56	0
"251"	25.63	0
"252"	25.69	0
"253"	25.75	0
"254"	25.81	0
"255"	25.88	0
"256"	25.94	0
"257"	26	5.33163
"258"	26.06	0
"259"	26.13	15.9949
"260"	26.19	0
"261"	26.25	0
"262"	26.31	0
"263"	26.38	0
"264"	26.44	0
"265"	26.5	2.66581
"266"	26.56	0
"267"	26.63	0
"268"	26.69	0
"269"	26.75	0
"270"	26.81	0
"271"	26.88	0
"272"	26.94	0
"273"	27	5.33163
"274"	27.06	7.99744
"275"	27.13	2.66581
"276"	27.19	2.66581
"277"	27.25	0
"278"	27.31	5.33163
"279"	27.38	2.66581
"280"	27.44	0
"281"	27.5	0
"282"	27.56	0
"283"	27.63	0
"284"	27.69	2.66581
"285"	27.75	2.66581
"286"	27.81	2.66581
"287"	27.88	0
"288"	27.94	0
"289"	28	0
"290"	28.06	5.33163
"291"	28.13	2.66581
"292"	28.19	0
"293"	28.25	0
"294"	28.31	0
"295"	28.38	0
